Hour,C1,C2,C3,C4,C5
2493,6,123.6539517945644,1023.715,48,173.6539517945644
2494,5,122.1881511871751,1035.065,49,172.1881511871751
2495,5,122.2906208207364,1072.686,52,172.2906208207364
2496,4,121.7054316066305,1018.279,55,171.7054316066305
2497,4,122.3256220910273,1016.952,57,172.3256220910273
2498,4,118.6205568821311,1122.771,58,168.6205568821311
2499,4,115.8206466269381,1204.758,64,165.8206466269381
2500,4,117.0935087030402,1074.511,68,167.0935087030402
2501,13,126.7964089812546,1089.459,71,176.7964089812546
2502,11,134.2881367431716,1129.227,72,184.2881367431716
2503,12,135.5706302877915,1147.01,74,185.5706302877915
2504,10,135.6366348785453,1066.744,71,185.6366348785453
2505,11,133.2567878296767,980.718,77,183.2567878296767
2506,11,132.7374838429006,890.9810000000001,55,182.7374838429006
2507,11,131.2800044850671,913.9350000000001,47,181.2800044850671
2508,11,131.3153738731244,828.4259999999999,42,181.3153738731244
2509,10,128.7638512922366,805.313,33,178.7638512922366
2510,11,127.8990005826474,845.325,34,177.8990005826474
2511,11,125.1094525949117,865.738,37,175.1094525949117
2512,11,122.0070663620805,905.559,50,172.0070663620805
2513,11,121.1521553154369,922.817,57,171.1521553154369
2514,12,120.1895686743946,995.404,58,170.1895686743945
2515,14,121.4226652123626,1052.137,50,171.4226652123626
2516,11,120.5677953630142,1121.811,57,170.5677953630142
2517,12,117.8171757988726,1163.411,54,167.8171757988725
2518,13,115.9693734533569,1169.217,59,165.9693734533569
2519,13,114.2684231552974,1195.604,53,164.2684231552973
2520,11,111.7187774071963,1266.474,56,161.7187774071963
2521,5,112.6313409876763,1258.97,55,162.6313409876763
2522,6,111.288258786451,1201.244,55,161.288258786451
2523,4,112.1397955209135,1244.937,56,162.1397955209135
2524,5,114.3860204114778,1251.851,60,164.3860204114778
2525,10,113.7714679158584,1179.523,79,163.7714679158584
2526,13,129.0751262147534,1069.18,83,179.0751262147534
2527,14,132.2814599888047,978.0930000000001,64,182.2814599888047
2528,14,131.4908309785621,934.784,53,181.4908309785621
2529,13,132.4411249991208,881.7949999999998,52,182.4411249991208
2530,11,133.1289534684958,795.1929999999999,48,183.1289534684958
2531,12,131.602611200829,750.5699999999998,44,181.602611200829
2532,10,127.1444491673367,724.5210000000001,37,177.1444491673367
2533,10,124.434318812291,721.53,34,174.434318812291
2534,8,122.2981201782132,709.356,30,172.2981201782132
2535,8,117.3057961903485,687.354,28,167.3057961903485
2536,10,115.9646687464125,710.788,25,165.9646687464125
2537,11,114.5305495838783,798.7720000000002,29,164.5305495838783
2538,11,112.771187682758,913.5310000000001,37,162.771187682758
2539,9,112.9333286384317,937.486,50,162.9333286384317
2540,11,112.7138267919435,989.6409999999998,57,162.7138267919435
2541,13,110.8004697639648,1001.393,55,160.8004697639648
2542,13,109.4892762022022,1043.166,60,159.4892762022022
2543,9,107.0295078504866,1113.687,61,157.0295078504865
2544,5,106.3993764950123,1113.647,59,156.3993764950123
2545,5,106.5862500837358,1103.823,64,156.5862500837358
2546,4,107.0166312190797,1100.355,68,157.0166312190797
2547,4,108.0060084249189,1105.102,69,158.0060084249189
2548,6,108.600848679278,1065.204,77,158.600848679278
2549,12,112.9463463796355,1011.775,88,162.9463463796355
2550,13,113.8160523293941,949.348,91,163.8160523293941
2551,14,114.0407602575331,804.3789999999999,66,164.0407602575331
2552,13,114.6635273246683,788.342,50,164.6635273246683
2553,11,114.4485928205362,842.0260000000001,48,164.4485928205362
2554,10,113.5574145022647,821.132,48,163.5574145022647
2555,10,112.0542682447823,712.62,37,162.0542682447823
2556,6,104.108175997828,660.196,30,154.108175997828
2557,6,109.6559405242336,684.319,24,159.6559405242336
2558,6,107.184580630931,627.919,21,157.184580630931
2559,7,106.8114829451518,548.629,24,156.8114829451518
2560,5,107.9098234930998,634.695,25,157.9098234930998
2561,9,106.5575451132526,750.971,28,156.5575451132526
2562,10,106.345608104986,794.4310000000002,40,156.345608104986
2563,12,106.2997433133445,821.7449999999999,51,156.2997433133445
2564,10,106.5969518362353,871.6410000000001,36,156.5969518362353
2565,10,106.0010787499809,895.203,36,156.0010787499809
2566,12,105.0218748597819,903.6919999999998,41,155.0218748597819
2567,10,104.2890806904679,927.1930000000001,39,154.2890806904679
2568,5,104.0149327461843,925.8749999999999,39,154.0149327461843
2569,4,104.2294323228601,1013.504,43,154.2294323228601
2570,4,104.0911802409713,1036.966,46,154.0911802409713
2571,4,104.7627526926048,1030.699,49,154.7627526926047
2572,4,104.4480438970081,980.2720000000002,62,154.4480438970081
2573,10,101.6812050423322,891.7049999999999,70,151.6812050423322
2574,11,101.9134277920353,807.4099999999999,67,151.9134277920353
2575,10,101.9286449372225,779.3810000000001,55,151.9286449372225
2576,12,101.6701368634508,686.26183261,50,151.6701368634508
2577,11,100.9946678242493,665.8100000000001,44,150.9946678242493
2578,12,100.2597090451484,678.969,45,150.2597090451484
2579,10,98.93578708975356,649.5139999999999,39,148.9357870897535
2580,12,99.40139940287418,619.702,37,149.4013994028742
2581,10,99.18806047844048,599.1139999999999,32,149.1880604784405
2582,11,100.2997058197134,614.873,38,150.2997058197134
2583,10,101.7282284323917,628.291,34,151.7282284323917
2584,12,104.1013429250515,672.9549999999999,26,154.1013429250515
2585,9,105.0477701988981,741.5659999999998,25,155.0477701988981
2586,9,106.022281463471,821.3779999999999,35,156.022281463471
2587,11,106.9072323454487,910.28,31,156.9072323454487
2588,11,108.1989311296792,923.2249999999999,29,158.1989311296792
2589,11,106.8020668865381,884.2880000000002,34,156.8020668865381
2590,11,106.2829015932953,879.6589999999999,37,156.2829015932953
2591,5,104.3498834280323,941.295,37,154.3498834280323
2592,4,104.4399068875552,944.9940000000001,36,154.4399068875552
2593,7,104.1309254824908,936.732,39,154.1309254824908
2594,4,104.4888897466181,998.2389999999999,41,154.4888897466181
2595,4,106.623207440261,1022.166,43,156.623207440261
2596,4,109.9257577991852,1001.728,53,159.9257577991852
2597,12,119.3788646209053,913.73,71,169.3788646209053
2598,12,124.1769084470936,843.625,82,174.1769084470936
2599,11,125.6841902606185,796.43,57,175.6841902606185
2600,10,126.5209432067786,684.7400000000001,37,176.5209432067786
2601,11,125.4925416516786,613.714,32,175.4925416516786
2602,12,123.8947409237702,590.4639999999999,22,173.8947409237702
2603,9,122.984613661924,585.046,22,172.984613661924
2604,10,120.0864693625272,567.5569999999999,22,170.0864693625272
2605,6,123.4946296520597,559.166,21,173.4946296520597
2606,10,122.0868536831083,560.902,24,172.0868536831083
2607,8,117.4693627415731,580.507,25,167.4693627415731
2608,6,115.1152276374099,644.356,28,165.1152276374099
2609,7,115.6651188640492,753.696,14,165.6651188640492
2610,10,115.7360694256724,825.887,31,165.7360694256724
2611,8,115.0656546059515,903.2180000000001,26,165.0656546059515
2612,8,115.464500601204,870.7810000000002,16,165.464500601204
2613,7,113.40964415381,828.468,38,163.40964415381
2614,8,112.9077330368208,867.5439999999999,30,162.9077330368208
2615,8,109.9045660796947,880.8190000000001,33,159.9045660796947
2616,4,108.6738717910432,909.5,30,158.6738717910432
2617,4,108.7189875409545,913.489,31,158.7189875409545
2618,4,108.5143865507424,940.1190000000001,34,158.5143865507424
2619,4,109.2350112082054,1001.276,32,159.2350112082054
2620,7,111.8136872766896,915.229,40,161.8136872766896
2621,10,120.8650349348929,873.368,56,170.8650349348929
2622,10,127.8210313791997,809.784,64,177.8210313791997
2623,10,128.4210780776492,736.4530000000001,45,178.4210780776492
2624,12,128.2550512867807,689.892,30,178.2550512867807
2625,10,126.808373956388,633.776,29,176.808373956388
2626,11,125.481245981575,615.816,23,175.481245981575
2627,11,124.7788828406794,584.621,18,174.7788828406794
2628,7,125.5507014800675,561.8130000000001,17,175.5507014800675
2629,4,124.7949076219901,570.2090000000001,14,174.7949076219901
2630,4,122.8614013714708,567.465,15,172.8614013714708
2631,10,117.396590921227,539.823,18,167.396590921227
2632,9,114.4891993392322,583.87,21,164.4891993392322
2633,10,112.9942108710701,655.442,16,162.9942108710701
2634,10,113.0093155391846,802.1469999999999,25,163.0093155391846
2635,7,113.8678839632952,831.877,20,163.8678839632952
2636,7,112.8155392892915,785.9580000000001,17,162.8155392892915
2637,7,112.1186527307618,870.536,20,162.1186527307618
2638,5,111.6647101253571,912.7509999999997,18,161.6647101253571
2639,5,108.9089186696952,914.6380000000001,15,158.9089186696952
2640,3,108.0936365214767,924.8970000000002,12,158.0936365214767
2641,3,108.0225147675742,942.51,12,158.0225147675742
2642,3,107.2645994300161,979.7919999999999,12,157.2645994300161
2643,4,108.4754429046873,974.404,16,158.4754429046873
2644,4,111.0117261107624,857.135,31,161.0117261107624
2645,8,120.4568012721245,781.871,31,170.4568012721245
2646,7,124.4487632363643,771.735,48,174.4487632363644
2647,10,126.3376665889311,715.0340000000001,44,176.3376665889311
2648,11,125.526028770356,634.242,30,175.526028770356
2649,10,126.2503957369533,588.792,28,176.2503957369533
2650,10,123.9730461086778,572.104,29,173.9730461086778
2651,11,126.044931053301,550.627,34,176.044931053301
2652,10,127.643066916977,539.978,31,177.643066916977
2653,10,128.2300950285303,547.527,26,178.2300950285303
2654,11,124.4724480566843,576.299,28,174.4724480566843
2655,10,119.7700215819848,721.0419999999999,24,169.7700215819848
2656,10,118.85727521116,844.035,20,168.85727521116
2657,11,116.3227689253699,896.169,20,166.3227689253699
2658,10,116.6685383068779,858.437,22,166.6685383068779
2659,8,116.9643502293816,870.135,24,166.9643502293816
2660,9,116.2432866576273,887.9470000000001,15,166.2432866576273
2661,6,115.3810018992166,897.0640000000001,14,165.3810018992166
2662,6,113.8709122665222,919.5709999999999,27,163.8709122665222
2663,5,110.1506512963721,932.602,27,160.1506512963721
2664,4,109.7676168471637,936.4010000000001,26,159.7676168471637
2665,5,111.293936885205,918.74,29,161.293936885205
2666,3,111.8115848856916,897.134,32,161.8115848856916
2667,4,112.912668980196,941.535,35,162.912668980196
2668,4,116.5275359128945,1038.833,40,166.5275359128945
2669,5,125.4283776497567,1084.756,44,175.4283776497567
2670,9,134.2514376852301,1185.653,47,184.2514376852301
2671,11,135.5193247952992,1203.394,47,185.5193247952992
2672,9,133.5826130086144,1162.274,51,183.5826130086144
2673,10,128.4729936767119,1240.99,38,178.4729936767119
2674,9,129.0798452984664,1239.14,37,179.0798452984664
2675,10,127.6555900490126,1244.748,42,177.6555900490126
2676,8,126.6447863836697,1260.074,26,176.6447863836697
2677,9,126.9350616796558,1275.053,35,176.9350616796558
2678,9,124.2480892786422,1308.63,33,174.2480892786422
2679,7,119.3379879639338,1451.818,33,169.3379879639338
2680,10,117.1957421468301,1358.722,45,167.1957421468301
2681,8,114.5402851933591,1223.509,45,164.5402851933591
2682,11,112.7481377357109,1220.537,49,162.7481377357109
2683,10,113.7023678497482,1254.361,59,163.7023678497482
2684,10,113.6603903430597,1134.996,57,163.6603903430597
2685,10,114.3254045719063,1174.286,53,164.3254045719063
2686,6,110.7407978377865,1145.817,60,160.7407978377865
2687,4,110.1086637621895,1114.348,59,160.1086637621895
2688,4,108.097149527191,1115.459,55,158.097149527191
2689,4,108.194402809981,1115.9,59,158.194402809981
2690,4,109.6124961038859,1176.507,59,159.6124961038859
2691,3,110.2466987427898,1180.618,60,160.2466987427898
2692,7,111.3280126057064,1157.206,68,161.3280126057064
2693,11,120.4920111867812,1140.099,86,170.4920111867812
2694,13,127.3860018358545,1144.035,82,177.3860018358545
2695,11,130.0291501006885,1149.979,58,180.0291501006885
2696,13,129.3322873423558,1063.648,48,179.3322873423558
2697,10,128.7642527544413,1043.258,43,178.7642527544413
2698,13,128.7992166934589,1023.382,37,178.7992166934589
2699,9,127.7378535570244,993.288,39,177.7378535570244
2700,12,127.460435562336,974.7180000000001,36,177.460435562336
2701,10,122.8141555643427,1028.859,41,172.8141555643427
2702,10,118.9109475547063,982.0590000000001,44,168.9109475547063
2703,5,114.5585224264769,1005.808,51,164.5585224264769
2704,9,113.2745710291865,969.9620000000001,57,163.2745710291865
2705,9,110.5741678266989,930.6990000000001,58,160.5741678266988
2706,8,110.204055555467,996.2510000000001,70,160.204055555467
2707,7,113.5942235002021,1071.542,74,163.5942235002021
2708,9,112.6198576947006,1060.504,67,162.6198576947006
2709,11,110.6247080884946,1073.252,60,160.6247080884946
2710,9,109.6642551290644,1087.675,61,159.6642551290644
2711,4,108.8822728390907,1113.197,54,158.8822728390907
2712,4,104.3264223537259,1123.98,53,154.3264223537259
2713,5,104.9996542952312,1146.854,53,154.9996542952312
2714,3,107.1100266953331,1161.494,52,157.1100266953331
2715,4,106.9453491460843,1174.742,52,156.9453491460843
2716,6,106.447065444893,1150.604,56,156.447065444893
2717,11,111.0252900483632,1104.475,73,161.0252900483632
2718,11,113.1528808640168,1083.529,60,163.1528808640168
2719,11,112.3626511413417,1095.634,53,162.3626511413417
2720,10,113.7015812351184,1124.568,54,163.7015812351184
2721,11,115.2507462002365,1139.419,42,165.2507462002365
2722,10,115.8878414691637,1132.283,41,165.8878414691637
2723,10,115.0412927485581,1127.457,46,165.0412927485581
2724,6,114.8436145953169,1101.709,36,164.8436145953169
2725,9,109.5627253012481,1076.578,38,159.5627253012481
2726,7,108.3620736266339,1111.443,26,158.362073626634
2727,6,107.1131027197671,1132.398,24,157.1131027197671
2728,9,105.9841315600235,1096.895,28,155.9841315600235
2729,8,105.3925054195658,1154.139,35,155.3925054195658
2730,10,105.997921901528,1177.707,39,155.997921901528
2731,10,105.6479477380239,1186.688,56,155.6479477380239
2732,11,104.9646359902815,1188.715,48,154.9646359902815
2733,10,102.9002313146524,1195.784,42,152.9002313146524
2734,11,101.5964170220634,1191.143,44,151.5964170220634
2735,6,101.930420891002,1166.785,41,151.930420891002
2736,3,101.58254851443,1161.356,43,151.58254851443
2737,4,101.8248925092918,1201.891,44,151.8248925092918
2738,4,101.7851284209158,1212.212,47,151.7851284209158
2739,7,102.6919608656549,1196.25,47,152.6919608656549
2740,6,101.4595202224534,1151.877,56,151.4595202224534
