thermal_demand,electricity_price,co2_price,gas_price
0.191440502,152.53,82.25,79.105
0.191552828,134.13,82.25,79.105
0.193946002,171.01,82.25,79.105
0.199831625,201.59,82.25,79.105
0.210258505,205.38,82.25,79.105
0.224509275,220.3,82.25,79.105
0.233633013,212.76,82.25,79.105
0.223002143,210,82.25,79.105
0.206441027,192.69,82.25,79.105
0.171696604,164.46,82.25,79.105
0.118454841,164.2,82.25,79.105
0.113307708,122.09,82.25,79.105
0.12371976,120.04,82.25,79.105
0.126329139,110.03,82.25,79.105
0.132122902,108.24,82.25,79.105
0.146540798,107.46,82.25,79.105
0.183134488,109.82,82.25,79.105
0.252008094,140.52,82.25,79.105
0.298184854,176.04,82.25,79.105
0.279195833,190.97,82.25,79.105
0.257828826,216.99,82.25,79.105
0.240060631,196.91,82.25,79.105
0.221433703,162.92,82.25,79.105
0.210736122,160.04,81.7,79.105
0.205089499,154.01,81.52,79.105
0.205209834,152.29,81.52,79.105
0.207773632,186.94,81.52,79.105
0.214078878,217.18,81.52,79.105
0.225249155,224.91,81.52,79.105
0.240515952,262,81.52,79.105
0.25029018,260.04,81.52,79.105
0.238901368,234.32,81.52,79.105
0.221159505,215.04,81.52,79.105
0.183937935,204.39,81.52,79.105
0.126900231,194.29,81.52,79.105
0.121386127,184.9,81.52,79.105
0.139512185,222.01,81.52,89.824
0.142454643,205.08,81.52,89.824
0.148987961,194.62,81.52,89.824
0.165246254,182.64,81.52,89.824
0.206511011,187.83,81.52,89.824
0.284176109,190.58,81.52,89.824
0.336247182,190.27,81.52,89.824
0.314834274,204.46,81.52,89.824
0.290739838,212.84,81.52,89.824
0.270703591,230,81.52,89.824
0.249698995,222.39,81.52,89.824
0.237635903,214.92,81.52,89.824
0.231268507,208.43,81.52,89.824
0.231404202,200,81.52,89.824
0.234295261,203.09,81.52,89.824
0.241405351,213.98,81.52,89.824
0.254001478,226.32,81.52,89.824
0.271217032,260,81.52,89.824
0.282238908,267.03,81.52,89.824
